"结果表名称","结果表行数","所属文件夹"
AUTOCORE_PRPTITEMCAR,1464282,新核心车险共享中心后置加工和去重
AUTOCORE_PRPTPROFITMAIN,13900720,新核心车险共享中心后置加工和去重
AUTOCORE_PRPWFDETAIL,4129355,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCAGENT,2626914,新核心车险共享中心后置加工和去重
AUTOCORE_LOGOPERATE,16581142,新核心车险共享中心后置加工和去重
AUTOCORE_PRPORDERMAIN,4654660,新核心车险共享中心后置加工和去重
AUTOCORE_GBMAIN,4700640,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPORDERMAIN,312972,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCCARSHIPTAX,3108157,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCFEE,6082596,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPORDERDETAIL,396257,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCITEMKIND,23171187,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCMAINSUB,3683195,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCITEMCAR,6084070,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYAGENT,2822300,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCITEMCAREXT,6084070,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPAGENT,103862,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYITEMKIND,24901440,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYFEE,6491691,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYMAIN,6491697,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCRENEWAL,4470988,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPMAIN,396184,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPFEE,136983,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCPROFITMAIN,8927687,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPPROFITMAIN,703725,新核心车险共享中心后置加工和去重
AUTOCORE_PRPTHANDLER,9936531,新核心车险共享中心后置加工和去重
AUTOCORE_PRPORDERDETAIL,9936206,新核心车险共享中心后置加工和去重
AUTOCORE_PRPMOTORCADE,10553,新核心车险共享中心后置加工和去重
AUTOCORE_PRPMOTORCADEINSURED,10553,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCHANDLER,6084070,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCINSURED,18252210,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPHEAD,396184,新核心车险共享中心后置加工和去重
AUTOCORE_PRPPITEMKIND,844499,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCMAIN,6084070,新核心车险共享中心后置加工和去重
AUTOCORE_CIINSUREVALID,6083791,新核心车险共享中心后置加工和去重
AUTOCORE_PRPTMAIN,9936531,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYINSURED,9790725,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYPLAN,6228340,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCOPYRENEWAL,2336230,新核心车险共享中心后置加工和去重
COMPARE_PRPCFXQGROUP_02,358,新核心车险共享中心后置加工和去重
COMPARE_PRPWFDETAIL_01,13381556,新核心车险共享中心后置加工和去重
COMPARE_PRPWFDETAIL_02,368922,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCFXQGROUP,10373747,新核心车险共享中心后置加工和去重
AUTOCORE_PRPWFMAIN,13597078,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCMAINBINDJY,1032852,新核心车险共享中心后置加工和去重
AUTOCORE_CIINSUREVALID_TEST,6083791,新核心车险共享中心后置加工和去重
AUTOCORE_GBMAIN_TEST,7162285,新核心车险共享中心后置加工和去重
AUTOCORE_LOGOPERATE_TEST,16581141,新核心车险共享中心后置加工和去重
AUTOCORE_PRPCFXQGROUP_TEST,10603562,新核心车险共享中心后置加工和去重
TECH_YD_POLICY_POLICY,600710,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY,805770,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_COINSURER,328795,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_EXT,13426582,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PLAN,773975,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PLAN_CL_LIABILITY,4528364,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PLAN_CLAUSE,4226686,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PLAN_CLAUSE_LI_IN,1869095,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PLAN_FACTOR,3198859,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_SALES_FEE,11411257,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_SALES_INFO,704231,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_COINSURER,218392,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_COINSURER_FEE,468127,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_CUSTOMER,920748,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_CUSTOMER_ORG,570692,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_EXT,13430635,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_INSURED_PERSON,3641235,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_LAUNDER_INFO,1898460,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_LOB,599966,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PAY,689308,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PAY_PLAN,696201,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PLAN,747221,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PLAN_CLAUSE,4029771,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PLAN_CLAUSE_LIA_INSURED,1837817,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PLAN_CLAUSE_LIABILITY,4364175,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_PLAN_FACTOR,3379740,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_SALES_FEE,7169861,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_SALES_INFO,635420,新非车承保后置加工和去重
TECH_YD_COMMON_T_OP_LOG,4886590,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_EXT_VIEW,5962380,新非车承保后置加工和去重
TECH_YD_POLICY_ENDO,205038,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_PAY,689521,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_CUSTOMER,946935,新非车承保后置加工和去重
TECH_YD_PROPOSAL_PROPOSAL,849068,新非车承保后置加工和去重
TECH_YD_POLICY_ENDO_CHANGE_PREMIUM_DETAIL,4213602,新非车承保后置加工和去重
TECH_YD_POLICY_POLICY_CUSTOMER_PERSON,349292,新非车承保后置加工和去重
TECH_YD_POLICY_IMAGE_POLICY_COINSURER_FEE,47256,新非车承保后置加工和去重
FC_CLAIM_PRPLTHIRDAGENCYDIRECTORY,30304,新非车理赔预处理
FC_CLAIM_PRPLITEMPAYINFO,341001,新非车理赔预处理
FC_CLAIM_PRPLINSUREDPAYINFO,102380,新非车理赔预处理
FC_CLAIM_PRPLTHREEPAYINFO,6138,新非车理赔预处理
FC_CLAIM_PRPLPAYINFO,2124193,新非车理赔预处理
FC_CLAIM_PRPLFEEPAYINFO,352462,新非车理赔预处理
FC_CLAIM_PRPLPAYPROPINFO,330023,新非车理赔预处理
FC_CLAIM_PRPLPAYPERSONINFO,183093,新非车理赔预处理
FC_CLAIM_PRPLPERSONACCIDENTPAYINFO,3857,新非车理赔预处理
FC_CLAIM_PRPLCHECKPROP,2638770,新非车理赔预处理
FC_CLAIM_PRPLDISASTER,4,新非车理赔预处理
FC_CLAIM_PRPLQUALITYEVALUATE,28550,新非车理赔预处理
FC_CLAIM_PRPLCMAIN,2896941,新非车理赔预处理
FC_CLAIM_PRPLCHECKTASK,2660079,新非车理赔预处理
FC_CLAIM_PRPLREGIST,2898330,新非车理赔预处理
FC_CLAIM_PRPLCLAIM,2631939,新非车理赔预处理
FC_CLAIM_PRPLPERSONLOSSMAIN,307273,新非车理赔预处理
FC_CLAIM_PRPLRECASEAUDIT,5350,新非车理赔预处理
FC_CLAIM_PRPLWFTASKIN,29432946,新非车理赔预处理
FC_CLAIM_PRPLCLAIMEXT,234173,新非车理赔预处理
FC_CLAIM_PRPLCLAIMKIND,2846965,新非车理赔预处理
FC_CLAIM_PRPLPREPAY,7860,新非车理赔预处理
FC_CLAIM_PRPLCLAIMKINDHIS,304173,新非车理赔预处理
FC_CLAIM_PRPLCLAIMCHECKKINDPREDICTHIS,7121,新非车理赔预处理
FC_CLAIM_PRPLCLAIMCHECKKINDPREDICT,69983,新非车理赔预处理
FC_CLAIM_PRPLREGISTPROPLOSS,2154245,新非车理赔预处理
FC_CLAIM_PRPLCLAIMCANCEL,286574,新非车理赔预处理
FC_CLAIM_PRPLREPLEVYMAIN,466,新非车理赔预处理
FC_CLAIM_PRPLCOMPENSATEMAIN,2609220,新非车理赔预处理
PRPLCLAIM_TEMP,2631939,新非车理赔预处理
FC_CLAIM_PRPLRECASE,5335,新非车理赔预处理
FC_CLAIM_PRPLCHECK,2636264,新非车理赔预处理
PRPLREGIST_TEMP,1465,新非车理赔预处理
